Caller Information:
10000027 | Kgotlhane,T | 42 | M | Sehithwa
Calls:
01/05/2005|10:12:47|217|10000071|10000027|24|8
01/08/2005|19:24:01|567|10000012|10000027|4|38
02/08/2005|16:07:47|133|10000036|10000027|18|4
03/02/2005|12:53:35|542|10000077|10000027|18|3
03/04/2005|12:03:05|130|10000007|10000027|4|7
03/09/2005|10:00:21|274|10000087|10000027|31|5
04/05/2005|18:48:01|784|10000040|10000027|13|4
05/03/2005|11:21:44|678|10000019|10000027|19|26
05/09/2005|02:19:24|499|10000053|10000027|4|9
05/10/2005|15:57:44|285|10000049|10000027|12|18
06/02/2005|17:12:40|224|10000048|10000027|23|4
06/02/2005|18:35:44|129|10000018|10000027|4|31
06/03/2005|10:50:36|148|10000012|10000027|32|2
06/12/2004|00:04:26|697|10000087|10000027|35|16
08/04/2005|11:46:40|180|10000056|10000027|4|31
10/09/2005|16:19:35|272|10000064|10000027|20|12
10/10/2005|15:17:53|637|10000031|10000027|4|19
11/07/2005|14:17:24|92|10000089|10000027|4|10
11/07/2005|15:24:18|284|10000080|10000027|4|1
11/10/2005|19:08:52|438|10000015|10000027|4|40
12/01/2005|13:12:10|108|10000068|10000027|6|15
13/03/2005|13:46:40|256|10000082|10000027|33|42
13/05/2005|16:05:23|221|10000052|10000027|40|4
13/06/2005|02:12:36|321|10000029|10000027|9|4
13/07/2005|16:39:55|143|10000041|10000027|4|2
13/07/2005|20:51:09|572|10000027|10000027|12|4
14/06/2005|18:46:06|179|10000043|10000027|26|4
14/07/2005|11:58:47|412|10000111|10000027|4|25
15/06/2005|10:07:23|117|10000079|10000027|32|3
15/06/2005|19:25:51|202|10000111|10000027|23|4
15/10/2005|18:19:00|182|10000010|10000027|39|19
15/10/2005|10:13:03|204|10000090|10000027|7|16
16/04/2005|16:06:15|166|10000069|10000027|4|22
16/05/2005|08:07:02|117|10000043|10000027|13|20
16/08/2005|14:35:41|235|10000085|10000027|4|19
16/12/2004|22:50:05|547|10000022|10000027|35|33
17/12/2004|08:27:57|611|10000030|10000027|4|8
18/01/2005|15:05:16|221|10000059|10000027|16|4
18/10/2005|15:47:13|300|10000084|10000027|4|41
19/01/2005|08:04:48|193|10000022|10000027|36|4
20/03/2005|15:42:12|260|10000080|10000027|4|4
20/08/2005|13:36:40|679|10000022|10000027|3|37
20/08/2005|17:02:14|558|10000114|10000027|5|4
21/03/2005|17:55:02|614|10000121|10000027|4|2
21/05/2005|08:25:43|124|10000049|10000027|19|11
22/05/2005|14:32:36|663|10000093|10000027|3|4
24/05/2005|09:51:28|776|10000045|10000027|23|4
26/03/2005|12:00:52|464|10000018|10000027|4|22
26/11/2005|09:09:23|60|10000122|10000027|4|21
27/09/2005|12:18:50|156|10000077|10000027|32|4
28/08/2005|18:29:14|231|10000059|10000027|37|4
28/11/2005|12:14:57|344|10000007|10000027|2|42
29/07/2005|17:33:21|154|10000010|10000027|35|4
29/09/2005|08:18:10|430|10000040|10000027|33|4
30/11/2004|11:23:05|207|10000021|10000027|4|12
